pqb,prb,pwr,pte,pol,pp,pk,pdl,plb,pdb,Speed,Height,Weight,Injury,Stamina,Short Route,Medium Route,Deep Route,Power Run,Speed Run,Short Pass,Medium Pass,Deep Pass,Run Block,Pass Block,Run Rush,Pass Rush,Tackle,Man Coverage,Zone Coverage,Kick Power,Kick Accuracy,Salary
0,0,0,0,0,0,0,0,0,1,0.88,0.4,0.140909091,0.821428571,0.694444444,0.454545455,0.455555556,0.438202247,0.5,0.607594937,0.074468085,0.053763441,0.04494382,0.307692308,0.295454545,0.564705882,0.613636364,0.682926829,0.75,0.711111111,0.119565217,0.096774194,0.488633133
0,0,0,0,0,0,0,0,1,0,0.56,0.6,0.340909091,0.535714286,0.555555556,0.409090909,0.411111111,0.393258427,0.464285714,0.481012658,0.393617021,0.376344086,0.348314607,0.417582418,0.409090909,0.717647059,0.670454545,0.804878049,0.434782609,0.477777778,0.054347826,0.075268817,0.207381896
0,0,0,0,1,0,0,0,0,0,0.28,0.866666667,0.759090909,0.714285714,0.444444444,0.113636364,0.077777778,0.078651685,0.119047619,0.101265823,0,0,0.011235955,0.582417582,0.647727273,0.282352941,0.272727273,0.256097561,0.076086957,0.055555556,0.27173913,0.225806452,0.185727237
0,0,0,0,0,0,1,0,0,0,0.56,0.4,0.136363636,0.75,0.555555556,0.147727273,0.166666667,0.168539326,0.142857143,0.139240506,0.276595745,0.204301075,0.179775281,0.087912088,0.011363636,0.152941176,0.159090909,0.231707317,0.108695652,0.088888889,0.923913043,0.838709677,0.218672704
0,0,0,0,0,0,0,0,0,1,0.82,0.533333333,0.181818182,0.571428571,0.694444444,0.556818182,0.488888889,0.449438202,0.452380952,0.620253165,0.010638298,0.010752688,0.02247191,0.307692308,0.295454545,0.505882353,0.590909091,0.597560976,0.739130435,0.711111111,0.130434783,0.053763441,0.052039307
0,0,0,0,0,0,0,1,0,0,0.58,0.6,0.509090909,0.642857143,0.472222222,0.159090909,0.133333333,0.112359551,0.154761905,0.227848101,0.010638298,0.010752688,0.02247191,0.417582418,0.409090909,0.8,0.75,0.829268293,0.358695652,0.444444444,0.25,0.258064516,0.410062581
0,0,0,0,1,0,0,0,0,0,0.52,0.666666667,0.663636364,0.607142857,0.527777778,0.340909091,0.344444444,0.314606742,0.273809524,0.215189873,0.010638298,0.010752688,0.02247191,0.703296703,0.602272727,0.305882353,0.25,0.231707317,0.086956522,0.088888889,0.163043478,0.161290323,0.401895138
0,0,0,0,0,0,1,0,0,0,0.44,0.533333333,0.113636364,0.678571429,0.583333333,0.102272727,0.122222222,0.123595506,0.142857143,0.063291139,0.340425532,0.301075269,0.258426966,0.186813187,0.079545455,0.152941176,0,0.109756098,0.076086957,0.055555556,0.956521739,0.817204301,0.62445246
0,0,0,1,0,0,0,0,0,0,0.64,0.733333333,0.422727273,0.75,0.472222222,0.681818182,0.655555556,0.640449438,0.69047619,0.746835443,0.106382979,0.053763441,0.02247191,0.615384615,0.590909091,0.247058824,0.272727273,0.231707317,0.076086957,0.088888889,0.206521739,0.172043011,0.20226203
0,0,0,0,0,0,0,1,0,0,0.36,0.6,0.604545455,0.714285714,0.25,0.193181818,0.177777778,0.157303371,0.154761905,0.113924051,0.106382979,0.053763441,0.033707865,0.417582418,0.352272727,0.741176471,0.681818182,0.756097561,0.108695652,0.155555556,0.054347826,0.053763441,0.30252199
0,0,0,0,0,0,0,0,1,0,0.54,0.466666667,0.340909091,0.821428571,0.527777778,0.375,0.333333333,0.314606742,0.392857143,0.443037975,0.010638298,0.010752688,0.02247191,0.417582418,0.409090909,0.741176471,0.693181818,0.817073171,0.445652174,0.566666667,0.076086957,0.096774194,0.24935506
0,0,0,0,0,0,0,1,0,0,0.46,0.533333333,0.568181818,0.785714286,0.305555556,0.25,0.211111111,0.202247191,0.226190476,0.329113924,0.010638298,0.021505376,0.02247191,0.417582418,0.352272727,0.694117647,0.727272727,0.768292683,0.184782609,0.244444444,0.043478261,0.021505376,0.423626006
