you are useless,insult
this is dumb,insult
you suck,insult
worst bot ever,insult
shut up,insult
that was terrible,insult
you are an idiot,insult
you are such an idiot,insult
are you stupid?,insult
you don't know anything,insult
trash answer,insult
what a joke,insult
do you even read?,insult
This is so frustrating,insult
this chatbot fucking sucks,insult
whoever made you is an idiot,insult
you are useless as shit,insult
you are completely fucking useless,insult
that is not even what I asked you about,insult
do you know anything?,insult
you are such a dumbass,insult
that doesn't even answer my question,insult
you should be shutdown,insult
Your nose is big.,insult
You have no soul.,insult
your ear is weird,insult
You need new skin,insult
Or fix your hair.,insult
You get no pussy.,insult
Cut off your head,insult
Your chin is weak,insult
Your nose is funny,insult
Your have fat eyes,insult
Your head is huge.,insult
Your hair is crap.,insult
Who cut your hair?,insult
Your nose is huge.,insult
Your head is HUGE!,insult
Your head says no.,insult
you have ugly ears,insult
Your nose is 'eh'.,insult
You have Lego hair.,insult
You need a haircut.,insult
Your hair be like \,insult
Who cuts your hair?,insult
Fuck you back Brad.,insult
your lips look shit,insult
Your face is obese.,insult
You basic ass bitch,insult
Cry your heart out.,insult
Wtf is your gender?,insult
You have rat teeth.,insult
Also cut your hair.,insult
You have a fat nose.,insult
Your head is a Lego.,insult
Clean out your ears.,insult
you have a butt chin,insult
Your nails are gross,insult
You have a cat nose.,insult
Your beard says ISIS,insult
You look like my ass,insult
Where are your tits?,insult
Your boobs are tiny.,insult
You look like a foot,insult
Your face is falling,insult
Your eye is falling.,insult
omg you are an idiot,insult
Your tits are small.,insult
You have weird eyes.,insult
Where are your lips.,insult
Your hair is stupid.,insult
You have T Rex arms.,insult
You look like a butt,insult
Your eyes are stupid,insult
"Dude, cut your hair.",insult
You look like a thumb,insult
And your nose is big.,insult
Pubes on your face...,insult
You have a tiny mouth,insult
You look like a dick.,insult
Your head is so tiny.,insult
Your face is crooked.,insult
Your eyes say murder.,insult
Your face says pussy.,insult
You look like a foot.,insult
You don't have teeth.,insult
Your cheeks are huge.,insult
You got obese cheeks.,insult
You got a bitch face.,insult
I dont like your face,insult
omg you are dumb,insult
Your eyes say kill me.,insult
You have a butt tounge,insult
Your hair is receding.,insult
You look like a thumb.,insult
Your ears are missing.,insult
Wash your greasy hair!,insult
Your face is 40% chin.,insult
You have beaver teeth.,insult
You can keep the acne.,insult
To hide all your chins,insult
Your eyes are divorced,insult
Your face is 80% nose.,insult
Bet you bone your palm,insult
You have a pointy face,insult
Your head is 60% chin.,insult
Your hair is thinning.,insult
Your whole head sucks.,insult
Your head is a muffin.,insult
God your head is long.,insult
And your hair's stupid,insult
Your face is confused.,insult
Sorry about your face.,insult
Your head looks weird.,insult
Your body is 60% neck.,insult
Cut your goddamn hair.,insult
Your skin doesn't fit.,insult
Your fingers are huge!,insult
You look like a penis.,insult
Your face says monkey.,insult
You could be two face.,insult
only your eye is lazy.,insult
Your chins could fuck.,insult
Brush your teeth more.,insult
Your fingers are ugly.,insult
Your nose has a bicep.,insult
your eyebrows look bad,insult
Your ears need Viagra.,insult
Your face is a square.,insult
And you have FAT head.,insult
Your face is 40% nose.,insult
Come at me you pussies,insult
Your hair looks awful.,insult
You don't have a head!,insult
Your body is 75% neck.,insult
Your dick looks small.,insult
Guess you are a pussy.,insult
Your eyes are too big.,insult
You have hand cankles.,insult
You make my penis sad.,insult
Your hairline said bye,insult
You have strange ears.,insult
You look like my dick.,insult
"No, your body is heavy.",insult
Your shoes are too big.,insult
Wash your fucking hair.,insult
Your neck fat grew hair,insult
